field,section,idx,description,include,subsection_descr,placeholder,atc_codes
Group,1,ML,Lymphatic vessels head and neck region,"lymphatic ducts, head and neck region",Therapeutic Interventions on the Lymphatic System,7,
Group,1,MM,Thoracic duct,,Therapeutic Interventions on the Lymphatic System,7,
Group,1,MN,Lymphatic vessels thoracic region,lymphatic ducts of thoracic region,Therapeutic Interventions on the Lymphatic System,7,
Group,1,MP,Lymphatic vessels of abdomen/pelvis,"lymphatic ducts of abdominal and pelvic region, lymphatic structure of abdominal and pelvic region, lymphatic structures of inguinal region",Therapeutic Interventions on the Lymphatic System,7,
Group,1,MR,Lymphatic vessels of arm,"lymphatic ducts of upper extremity, lymphatic structures of upper extremity, lymphatic structures of axillary region",Therapeutic Interventions on the Lymphatic System,7,
Group,1,MS,Lymphatic vessels of leg,"lymphatic ducts of lower extremity, lymphatic structures of lower extremity",Therapeutic Interventions on the Lymphatic System,7,
Group,1,MZ,Lymphatic system NEC,lymphatic vessels NOS,Therapeutic Interventions on the Lymphatic System,7,
Group,1,NA,Esophagus,"Cardioesophageal junction, cardiac orifice, ostium, notch, esophagus [cervical, thoracic and abdominal]",Therapeutic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,1,NE,Pylorus,"pylorus alone, pyloric orifice, pyloric sphincter",Therapeutic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,1,NF,Stomach,"Body, fundus of stomach, body of stomach with pylorus, pyloric antrum, gastric antrum, stomach NEC, NOS",Therapeutic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,1,NK,Small intestine,"small bowel, duodenum, jejunum and ileum, Meckel's diverticulum",Therapeutic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,1,NM,Large intestine,"ascending colon, cecum, diaphragmatic flexure, hepatic flexure, sigmoid flexure, colon [right, left, NOS], transverse colon, descending colon, ileocecal valve, iliopelvic colon, splenic flexure, sigmoid colon",Therapeutic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,1,NP,Small and large intestine,"duodenum, jejunum and ileum and colon [any site], intestinal tract NOS",Therapeutic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,1,NQ,Rectum,"pelvirectal juncture, anorectal juncture above dentate line, rectosigmoid junction",Therapeutic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,1,NT,Anus,"anorectal juncture, anal sphincter, anal cushion, hemorrhoidal plexus [lying within anal cushion], levator ani muscle, muscularis propria of anal canal",Therapeutic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,1,NV,Appendix,vermiform appendix,Therapeutic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,1,OA,Liver,"lobe of liver, segment I through VIII of liver, caudate, quadrate of liver, liver NOS, subphrenic space",Therapeutic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,1,OB,Spleen,,Therapeutic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,1,OD,Gallbladder,"fundus, body, neck of gallbladder, Luschka's ducts of gall bladder [wall], gall bladder with associated bile ducts",Therapeutic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,1,OE,Bile ducts,"biliary ducts, common bile duct [CBD], cystic duct, hepatic ducts [intra and extra], ampulla and sphincter of Oddi, papilla [ampulla] and sphincter of Vater, hepatopancreatic ampulla, pancreatic duct, duct of Santorini, Wirsung",Therapeutic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,1,OJ,Pancreas,"head, body, tail of pancreas, islets of Langerhans [endocrine pancreas]",Therapeutic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,1,OK,Pancreas with duodenum,,Therapeutic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,1,OT,Abdominal cavity,"peritoneum, peritoneal [retroperitoneal] cavity, pelvic cavity, extraperitoneal space, subdiaphragmatic space, omentum, mesentery, sinuses/fistula of cavity, neoplasm which occupies the abdominal cavity and whose point of origin cannot easily be assigned to a single point of origin",Therapeutic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,1,OW,Surgically constructed sites in digestive and biliary tract,"gastric pouch, pelvic pouch, ileal reservoir, Kock pouch, roux en y limb [of anastomosis], esophagostomy, gastrostomy, duodenostomy, jejunostomy, ileostomy, enterostomy, colostomy, neoesophagus, neopharynx, neorectum",Therapeutic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,1,OZ,Digestive system NEC,,Therapeutic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,1,PB,Adrenal gland,,Therapeutic Interventions on the Genitourinary System,9,
Group,1,PC,Kidney,"ectopic kidney, kidney NOS, kidney with renal pelvis, renal capsule, renal cortex, renal medulla, kidney with adrenal gland",Therapeutic Interventions on the Genitourinary System,9,
Group,1,PE,Renal pelvis,"renal calyces, ureteropelvic junction [UPJ]",Therapeutic Interventions on the Genitourinary System,9,
Group,1,PG,Ureter,"ectopic ureter, ureter NOS, ureteral meatus, ureterovesical junction and orifice(s)",Therapeutic Interventions on the Genitourinary System,9,
Group,1,PL,Bladder neck,"detrusor muscle, urethrovesical junction",Therapeutic Interventions on the Genitourinary System,9,
Group,1,PM,Bladder,"bladder NOS, bladder with bladder neck, dome of bladder, intraluminous tissue of bladder, trigone of bladder, urachus",Therapeutic Interventions on the Genitourinary System,9,
Group,1,PQ,Urethra,"urethral sphincter, peri-urethral gland, Skene's gland [duct], urethra [bulbous, penile, prostatic], urethral meatus, urethral valves",Therapeutic Interventions on the Genitourinary System,9,
Group,1,PV,Surgically created urinary tract,"pyelostomy tract, nephrostomy tract, ureterostomy tract, cystostomy tract, urethrostomy tract, ileoconduit",Therapeutic Interventions on the Genitourinary System,9,
Group,1,PZ,Urinary system NEC,"urinary system and function, urinary tract, multi-site, urinary site",Therapeutic Interventions on the Genitourinary System,9,
Group,1,QD,Prepuce,foreskin,Therapeutic Interventions on the Genitourinary System,9,
Group,1,QE,Penis,"Buck's fascia, corpus spongiosum, corpus cavernosa, glans penis, prepuce (foreskin) with body of penis, skin of penis",Therapeutic Interventions on the Genitourinary System,9,
Group,1,QG,Scrotum,"dartos tunic, scrotal skin, spermatic fascia, scrotum with contents",Therapeutic Interventions on the Genitourinary System,9,
Group,1,QH,Tunica vaginalis,,Therapeutic Interventions on the Genitourinary System,9,
Group,1,QJ,Epididymis,"organ of Giraldes [paradidymis], vas aberrans of Haller, appendix epididymis",Therapeutic Interventions on the Genitourinary System,9,
Group,1,QM,Testis,"appendix testis, cyst of Morgagni, ectopic testis",Therapeutic Interventions on the Genitourinary System,9,
Group,1,QN,Vas deferens,,Therapeutic Interventions on the Genitourinary System,9,
Group,1,QP,Spermatic cord,spermatic vein,Therapeutic Interventions on the Genitourinary System,9,
Group,1,QQ,Seminal vesicles,ejaculatory duct,Therapeutic Interventions on the Genitourinary System,9,
Group,1,QT,Prostate,,Therapeutic Interventions on the Genitourinary System,9,
Group,1,QZ,Male genital tract NEC,male genital tract NOS,Therapeutic Interventions on the Genitourinary System,9,
Group,1,RB,Ovary,"ligaments of ovary, ovary NOS, ovas",Therapeutic Interventions on the Genitourinary System,9,
Group,1,RD,Ovary with fallopian tube,,Therapeutic Interventions on the Genitourinary System,9,
Group,1,RF,Fallopian tube,"fimbria of fallopian tube, hydatid of Morgagni, uterine tube",Therapeutic Interventions on the Genitourinary System,9,
Group,1,RM,Uterus and surrounding structures,"body of uterus, cervix with body of uterus, uterus NOS, endometrium, round ligament [canal of Nuck], cardinal ligament, uterosacral ligament, broad ligaments",Therapeutic Interventions on the Genitourinary System,9,
Group,1,RN,Cervix,"cervix, supravaginal cervix, uterine orifice [external os], canal of cervix",Therapeutic Interventions on the Genitourinary System,9,
Group,1,RS,Vagina,"fornix [anterior, posterior, cul-de-sac], vaginal orifice, vaginal vault, vaginal walls [anterior, posterior]",Therapeutic Interventions on the Genitourinary System,9,
Group,1,RW,Vulva,"Bartholin's glands [greater vestibular glands], bulb of vestibule, clitoris, hymen, labia [minora, majora], mons pubis, vestibule, vulva with perineum",Therapeutic Interventions on the Genitourinary System,9,
Group,1,RY,Perineum,male perineum,Therapeutic Interventions on the Genitourinary System,9,
Group,1,RZ,Female genital tract NEC,pelvic [female] region,Therapeutic Interventions on the Genitourinary System,9,
Group,1,SA,Atlas and axis,"atlantoaxial joint, cervical spinal vertebrae: C1 and C2 [with or without C3], occipitoatlantal (occipitocervical) joint, transverse ligament of occipitoatlantal joint, superior and anterior facet (zygapophyseal joint(s), atlas, odontoid process, (dens) axis",Therapeutic Interventions on the Musculoskeletal System,10,
Group,1,SC,Spinal vertebrae,"transverse process of vertebrae, vertebral joints [facet, interspinous ligament], vertebral column, lumbosacral spinal vertebrae [vertebrae L1-S2], spine NOS",Therapeutic Interventions on the Musculoskeletal System,10,
Group,1,SE,Intervertebral Disc,"annulus fibrosus, nucleus pulposus",Therapeutic Interventions on the Musculoskeletal System,10,
Group,1,SF,Sacrum and coccyx,,Therapeutic Interventions on the Musculoskeletal System,10,
Group,1,SG,Muscles of the back,"transversus aponeurosis, thoracolumbar fascia, muscles and tendons of back NOS, erector spinal vertebrae, iliocostalis, latissimus dorsi, longissimus thoracis and colli, rhomboid, semi-spinalis and serratus posterior muscles",Therapeutic Interventions on the Musculoskeletal System,10,
Group,1,SH,Soft tissue of the back,"abscess arising in or extending as deep as muscle or tendon of back, hematoma arising in or extending as deep as muscle or tendon of back, neoplasm arising or extending as deep as muscle or tendon of back , soft tissue wound of back",Therapeutic Interventions on the Musculoskeletal System,10,
Group,1,SI,Sacroiliac joint,,Therapeutic Interventions on the Musculoskeletal System,10,
Group,1,SJ,Back NEC,spine with muscles and ligaments of back,Therapeutic Interventions on the Musculoskeletal System,10,
Group,1,SK,Sternum,"manubrium, sternebrae body, xiphoid process",Therapeutic Interventions on the Musculoskeletal System,10,
Group,1,SL,Ribs,cartilage and ligaments [intercostal and sternocostal] of ribs,Therapeutic Interventions on the Musculoskeletal System,10,
Group,1,SM,Clavicle,collar bone,Therapeutic Interventions on the Musculoskeletal System,10,
Group,1,SN,Scapula,"inter-thoracoscapular joint, shoulder blade NOS",Therapeutic Interventions on the Musculoskeletal System,10,
Group,1,SQ,Pelvis,"acetabulum alone, iliac crest, ilium, ischium, pelvis with pubis with acetabulum with femoral head [when affected in its entirety (e.g. amputation)]",Therapeutic Interventions on the Musculoskeletal System,10,
Group,1,SW,Pubis,"pubis alone, pubis ramus, symphysis pubis",Therapeutic Interventions on the Musculoskeletal System,10,
Group,1,SY,Muscles of the chest and abdomen,"internal intercostal, pectoralis major [medial and lateral], serratus anterior, transversus thoracis and teres muscles; muscles and tendons of chest NOS; chest wall NOS; internal and external oblique, rectus abdominis, transversus abdominis [internal and external], inguinal ligament, linea alba and semilunaris; muscles and tendons of abdomen NOS; abdominal wall; deep fascia [endo suprapleural membrane, transversalis, obturator internus]",Therapeutic Interventions on the Musculoskeletal System,10,
Group,1,SZ,Soft tissue of the chest and abdomen,abscess arising in or extending as deep as chest or abdominal wall; hematoma arising in or extending as deep as chest or abdominal wall; neoplasm arising in or extending as deep as chest or abdominal wall; wound of soft tissue or chest and abdomen,Therapeutic Interventions on the Musculoskeletal System,10,
Group,1,TA,Shoulder joint,"bursa, capsule, cartilage, ligament and synovial lining of coracohumeral and glenohumeral joints; shoulder ligaments [coracohumeral, glenohumeral ligaments, glenoid labrum, humeral and rotator interval]; glenoid cavity, labrum; humeral head and surgical neck; greater tuberosity [tubercle] of humerus; shoulder joint NOS",Therapeutic Interventions on the Musculoskeletal System,10,
Group,1,TB,Acromioclavicular and sternoclavicular joints,"subacromial bursa, and capsule; acromioclavicular, coracoacromial, coracoclavicular, coracohumeral ligaments; sternoclavicular articular disc; sternoclavicular, costoclavicular and interclavicular ligaments; acromion; coracoid process; distal end of clavicle with acromion; subacromial space",Therapeutic Interventions on the Musculoskeletal System,10,
Group,1,TC,Rotator cuff,"infraspinatus, subscapularis, supraspinatus and teres minor muscles and tendons",Therapeutic Interventions on the Musculoskeletal System,10,
Group,1,TF,Muscles of the arm [around shoulder],"coracobrachialis, deltoid, levator scapulae, teres major, trapezius: muscles of upper arm NEC; muscles of shoulder NEC; fascia of upper arm NEC",Therapeutic Interventions on the Musculoskeletal System,10,
